,Number of features,Mean RMSE
0,1.0,1.07337572983987
1,2.0,0.6976614415445317
2,3.0,0.6517814687273761
3,4.0,0.6061087283190361
4,5.0,0.5602560756098757
5,6.0,0.5508981504785494
6,7.0,0.5329604987167291
7,8.0,0.5335097910217326
8,9.0,0.5314768806440732
9,10.0,0.5288102644908985
10,11.0,0.5303116327640442
11,12.0,0.5343762105530121
12,13.0,0.529138632954745
13,14.0,0.5264275011718584
14,15.0,0.5269574489093987
15,16.0,0.5218443765395065
16,17.0,0.5233156747618661
17,18.0,0.5234672138708583
18,19.0,0.5223187814520718
19,20.0,0.5228504945472384
20,21.0,0.525109990861952
